crop,family,season,obs_start,obs_end,sow_start,sow_end,sow_typical,duration_days,harvest_style,pick_interval_days,ph_min,ph_max,temp_min_c,temp_opt_c,temp_max_c,water_mm_min,water_mm_max,salinity_ece_max,frost_sensitive,model_order,status
wheat,poaceae,rabi,12-01,03-15,11-01,12-15,11-15,150,single,,6.0,8.5,10,20,30,400,650,6.0,no,1,verified-window
rice,poaceae,kharif,06-15,10-15,06-20,07-20,06-25,120,single,,5.0,8.5,20,28,38,1000,1500,3.0,no,2,verified-window
maize,poaceae,kharif,08-01,11-15,07-15,08-15,07-25,100,single,,5.5,8.5,15,25,35,500,800,1.7,no,7,seed
sugarcane,poaceae,annual,03-01,11-30,02-15,03-31,03-01,330,single,,6.0,8.5,18,28,38,1500,2500,1.7,yes,10,seed
cotton,malvaceae,kharif,05-15,10-31,04-15,05-31,05-10,170,multi,14,6.0,8.5,20,30,40,700,1300,7.7,no,5,seed
barley,poaceae,rabi,12-01,03-15,10-20,11-30,11-05,125,single,,6.5,8.5,8,18,28,300,450,8.0,no,4,seed
bajra,poaceae,kharif,07-15,10-15,07-01,07-31,07-10,85,single,,5.5,8.5,20,30,40,350,600,6.0,no,3,seed
jowar,poaceae,kharif,07-01,10-15,06-15,07-15,06-30,105,single,,5.5,8.5,20,28,38,400,650,6.8,no,6,seed
potato,solanaceae,rabi,10-15,02-15,10-01,11-15,10-20,95,single,,5.0,8.3,10,18,25,500,700,1.7,yes,9,seed
onion,amaryllidaceae,rabi,12-01,04-30,11-10,12-20,11-25,145,single,,6.0,8.3,10,20,30,350,550,1.2,no,8,seed
garlic,amaryllidaceae,rabi,11-01,03-31,10-10,11-20,10-25,160,single,,6.0,8.3,8,18,28,350,500,1.7,no,,seed
tomato,solanaceae,kharif,09-01,12-31,08-10,09-15,08-25,120,multi,7,5.5,8.2,15,24,32,400,600,2.5,yes,11,seed
brinjal,solanaceae,zaid,03-15,08-15,02-15,03-20,03-01,150,multi,7,5.5,8.2,18,27,35,400,600,1.1,yes,,seed
chilli,solanaceae,zaid,03-15,09-15,02-15,03-20,03-01,175,multi,10,6.0,8.2,16,26,34,400,600,1.5,yes,,seed
